month_year,npi_num,first_name,last_name,specialty,state,territory_code,region,hcp_segment,is_target,channel_name,payer_group,strength_mg,trx,nrx,units,net_product_sales,conversion_rate,payer_reimb_rate
2025-01,000000000,Nicole,Dominguez,Neurology,AL,AL01,South,A,1,Commercial,Commercial,200,20,9,40,11346.88,0.45,0.549
2025-01,000000001,Steven,Harris,Psychiatry,AL,AL01,South,C,0,Commercial,Commercial,200,5,2,10,2282.63,0.4,0.533
2025-01,000000002,David,Kelly,Psychiatry,AL,AL01,South,C,0,Commercial,Commercial,200,4,1,4,1624.66,0.25,0.745
2025-01,000000003,Melissa,Davis,Internal Medicine,AL,AL01,South,A,1,Managed Medicaid,Government,200,16,8,32,13774.46,0.5,0.502
2025-01,000000004,Christine,Alexander,Psychiatry,AL,AL01,South,C,0,Managed Medicaid,Government,150,13,3,26,6771.04,0.231,0.835
2025-01,000000005,Mr.,Brooks,Internal Medicine,AL,AL01,South,A,1,Commercial,Commercial,150,21,11,21,6580.03,0.524,0.62
2025-01,000000006,Harold,Oconnell,Internal Medicine,AL,AL01,South,A,1,Managed Medicaid,Government,200,15,4,15,7095.15,0.267,0.632
2025-01,000000007,Aaron,Cortez,Neurology,AL,AL01,South,B,1,Medicare,Government,200,20,6,20,8063.77,0.3,0.516
2025-01,000000008,Charles,Blankenship,Psychiatry,AL,AL01,South,B,1,Commercial,Commercial,100,19,7,19,6057.82,0.368,0.659
2025-01,000000009,Mary,Beck,Internal Medicine,AL,AL01,South,A,1,Medicare,Government,150,8,2,8,3153.96,0.25,0.746
2025-01,000000010,Sandra,Lopez,Neurology,AL,AL01,South,C,0,Commercial,Commercial,200,0,0,0,0.0,0.0,0.586
2025-01,000000011,Mitchell,Sims,Internal Medicine,AL,AL01,South,B,1,Medicare,Government,200,19,6,19,7561.99,0.316,0.795
2025-01,000000012,Christopher,Peterson,Psychiatry,AL,AL01,South,A,1,Commercial,Commercial,150,25,7,50,14480.63,0.28,0.574
2025-01,000000013,Taylor,Gonzalez,Neurology,AL,AL01,South,C,0,Medicare,Government,100,4,1,8,2582.91,0.25,0.82
2025-01,000000014,Mark,Keller,Internal Medicine,AL,AL01,South,A,1,Medicare,Government,100,15,6,15,6205.46,0.4,0.689
2025-01,000000015,Mike,Ruiz,Neurology,AL,AL01,South,C,0,Managed Medicaid,Government,200,6,1,12,3769.43,0.167,0.849
2025-01,000000016,Justin,Hayes,Psychiatry,AL,AL01,South,C,0,Managed Medicaid,Government,100,2,0,2,887.77,0.0,0.553
2025-01,000000017,Mary,Wilkerson,Psychiatry,AL,AL01,South,C,0,Managed Medicaid,Government,200,4,1,4,1280.16,0.25,0.709
2025-01,000000018,Teresa,Norris,Internal Medicine,AL,AL01,South,C,0,Medicare,Government,200,5,1,5,1984.37,0.2,0.54
2025-01,000000019,Courtney,Hensley,Neurology,AL,AL01,South,B,1,Medicare,Government,100,12,6,24,7992.94,0.5,0.659
2025-01,000000020,Timothy,Lewis,Neurology,AL,AL01,South,C,0,Medicare,Government,200,10,3,10,3519.97,0.3,0.537
2025-01,000000021,Megan,Harper,Neurology,AL,AL01,South,B,1,Medicaid,Government,100,11,4,22,9201.56,0.364,0.689
2025-01,000000022,Rachael,Rodriguez,Neurology,AL,AL01,South,A,1,Medicare,Government,150,11,5,11,2739.94,0.455,0.627
2025-01,000000023,Matthew,Snyder,Internal Medicine,AL,AL01,South,A,1,Commercial,Commercial,100,18,8,18,4360.86,0.444,0.67
2025-01,000000024,April,Martinez,Psychiatry,AL,AL01,South,C,0,Medicaid,Government,100,9,2,18,8391.25,0.222,0.558
2025-01,000000025,Brandon,Miller,Neurology,AL,AL01,South,C,0,Managed Medicaid,Government,100,6,1,6,2432.2,0.167,0.64
2025-01,000000026,Amy,Bridges,Neurology,AL,AL01,South,C,0,Medicare,Government,150,5,1,10,2514.61,0.2,0.579
2025-01,000000027,Mike,Frank,Internal Medicine,AL,AL01,South,A,1,Medicaid,Government,200,16,5,16,3549.91,0.312,0.748
2025-01,000000028,Jason,Henson,Psychiatry,AL,AL01,South,A,1,Commercial,Commercial,100,15,5,30,7152.69,0.333,0.583
2025-01,000000029,Kristina,Jackson,Neurology,AL,AL01,South,B,1,Medicaid,Government,200,23,9,23,9385.65,0.391,0.809
2025-01,010000000,Patricia,Schultz,Neurology,AK,AK01,West,B,1,Medicaid,Government,150,19,5,38,10241.25,0.263,0.534
