month_year,npi_num,first_name,last_name,specialty,state,territory_code,region,hcp_segment,is_target,channel_name,payer_group,strength_mg,trx,nrx,units,net_product_sales,conversion_rate,payer_reimb_rate
2023-02,000000000,Kerry,Sanchez,Neurology,AL,AL01,South,A,1,Commercial,Commercial,100,15,6,15,6250.43,0.4,0.608
2023-02,000000001,Richard,Berger,Neurology,AL,AL01,South,A,1,Commercial,Commercial,100,22,7,44,10652.85,0.318,0.7
2023-02,000000002,Jeremy,Greene,Psychiatry,AL,AL01,South,C,0,Managed Medicaid,Government,100,7,2,7,2112.54,0.286,0.83
2023-02,000000003,Darryl,Mendoza,Psychiatry,AL,AL01,South,B,1,Medicare,Government,150,21,6,21,6337.02,0.286,0.637
2023-02,000000004,Carla,Morrow,Internal Medicine,AL,AL01,South,A,1,Commercial,Commercial,150,21,6,42,19029.9,0.286,0.676
2023-02,000000005,Debra,Brown,Neurology,AL,AL01,South,A,1,Commercial,Commercial,200,13,5,26,8944.2,0.385,0.804
2023-02,000000006,Christine,Poole,Psychiatry,AL,AL01,South,B,1,Medicaid,Government,100,22,10,44,10580.93,0.455,0.719
2023-02,000000007,Chris,Anderson,Neurology,AL,AL01,South,A,1,Medicaid,Government,200,12,5,12,5038.74,0.417,0.556
2023-02,000000008,Terri,Graham,Neurology,AL,AL01,South,C,0,Medicare,Government,150,2,0,2,616.29,0.0,0.626
2023-02,000000009,Natalie,Mosley,Internal Medicine,AL,AL01,South,A,1,Managed Medicaid,Government,100,21,9,21,10063.67,0.429,0.712
2023-02,000000010,Jillian,Joseph,Psychiatry,AL,AL01,South,C,0,Managed Medicaid,Government,100,0,0,0,0.0,0.0,0.805
2023-02,000000011,Maria,Mcdonald,Neurology,AL,AL01,South,A,1,Managed Medicaid,Government,100,8,2,16,4825.07,0.25,0.827
2023-02,000000012,Jack,Moore,Psychiatry,AL,AL01,South,A,1,Medicare,Government,200,20,5,40,12475.03,0.25,0.525
2023-02,000000013,Mike,Bailey,Neurology,AL,AL01,South,B,1,Medicare,Government,150,10,4,20,8368.36,0.4,0.655
2023-02,000000014,Michelle,Martin,Psychiatry,AL,AL01,South,A,1,Managed Medicaid,Government,100,22,11,44,19507.0,0.5,0.64
2023-02,000000015,Andrew,Howell,Neurology,AL,AL01,South,C,0,Medicaid,Government,150,4,1,8,2825.96,0.25,0.719
2023-02,000000016,Tracy,Rose,Internal Medicine,AL,AL01,South,B,1,Commercial,Commercial,200,20,6,40,14061.8,0.3,0.592
2023-02,000000017,David,Stafford,Neurology,AL,AL01,South,A,1,Commercial,Commercial,200,20,8,20,8038.68,0.4,0.696
2023-02,000000018,Michael,Hanson,Psychiatry,AL,AL01,South,A,1,Medicare,Government,150,22,11,22,8101.16,0.5,0.799
2023-02,000000019,Michelle,Keith,Psychiatry,AL,AL01,South,B,1,Managed Medicaid,Government,200,21,11,21,6525.2,0.524,0.664
2023-02,000000020,Denise,Petty,Neurology,AL,AL01,South,B,1,Commercial,Commercial,100,13,3,13,5333.41,0.231,0.821
2023-02,000000021,Jane,Morris,Internal Medicine,AL,AL01,South,B,1,Medicaid,Government,150,17,6,34,8049.93,0.353,0.62
2023-02,000000022,Amanda,Ball,Neurology,AL,AL01,South,B,1,Medicaid,Government,200,20,6,40,9988.99,0.3,0.659
2023-02,000000023,Paul,Bates,Neurology,AL,AL01,South,A,1,Managed Medicaid,Government,100,25,11,25,7581.21,0.44,0.511
2023-02,000000024,Patricia,Gardner,Neurology,AL,AL01,South,B,1,Commercial,Commercial,150,21,10,42,19925.88,0.476,0.575
2023-02,000000025,Christopher,Francis,Psychiatry,AL,AL01,South,A,1,Managed Medicaid,Government,150,25,6,50,19263.93,0.24,0.529
2023-02,000000026,Megan,Fisher,Psychiatry,AL,AL01,South,B,1,Managed Medicaid,Government,100,20,8,40,17887.27,0.4,0.658
2023-02,000000027,Deborah,Hernandez,Internal Medicine,AL,AL01,South,C,0,Medicaid,Government,200,11,4,22,5892.93,0.364,0.519
2023-02,000000028,Eric,Patton,Internal Medicine,AL,AL01,South,B,1,Medicare,Government,100,19,8,19,5905.42,0.421,0.647
2023-02,000000029,Justin,Santos,Internal Medicine,AL,AL01,South,C,0,Medicaid,Government,200,11,6,22,6868.84,0.545,0.743
2023-02,010000000,Carla,Moore,Internal Medicine,AK,AK01,West,A,1,Medicaid,Government,100,16,7,16,4866.73,0.438,0.845
2023-02,010000001,Michael,Green,Neurology,AK,AK01,West,C,0,Medicare,Government,100,14,5,14,6343.26,0.357,0.827
2023-02,010000002,Donna,Gill,Internal Medicine,AK,AK01,West,B,1,Commercial,Commercial,200,21,11,42,12109.81,0.524,0.753
2023-02,010000003,Joseph,Webb,Internal Medicine,AK,AK01,West,A,1,Managed Medicaid,Government,200,11,5,11,2524.35,0.455,0.761
2023-02,010000004,Nicholas,Vincent,Psychiatry,AK,AK01,West,B,1,Medicaid,Government,200,20,6,40,11047.83,0.3,0.573
2023-02,010000005,Justin,Parker,Psychiatry,AK,AK01,West,C,0,Commercial,Commercial,150,0,0,0,0.0,0.0,0.814
2023-02,010000006,Lisa,Mathews,Neurology,AK,AK01,West,A,1,Managed Medicaid,Government,200,21,8,42,13761.47,0.381,0.623
2023-02,010000007,Edward,Moore,Neurology,AK,AK01,West,B,1,Medicare,Government,100,23,6,23,7803.76,0.261,0.631
2023-02,010000008,John,Perez,Neurology,AK,AK01,West,C,0,Medicaid,Government,200,16,7,32,10214.61,0.438,0.796
2023-02,010000009,William,Ruiz,Neurology,AK,AK01,West,C,0,Managed Medicaid,Government,200,3,1,6,2415.26,0.333,0.828
2023-02,010000010,Diana,Vance,Psychiatry,AK,AK01,West,A,1,Commercial,Commercial,100,28,12,28,10646.38,0.429,0.644
2023-02,010000011,April,Gardner,Internal Medicine,AK,AK01,West,C,0,Commercial,Commercial,200,6,2,12,4210.49,0.333,0.782
2023-02,010000012,Donald,Martin,Neurology,AK,AK01,West,B,1,Managed Medicaid,Government,100,14,6,14,5907.84,0.429,0.693
2023-02,010000013,Christopher,Mccoy,Psychiatry,AK,AK01,West,A,1,Managed Medicaid,Government,100,16,6,32,15090.57,0.375,0.82
2023-02,010000014,Samantha,Garcia,Internal Medicine,AK,AK01,West,C,0,Managed Medicaid,Government,100,9,3,18,7620.68,0.333,0.678
2023-02,010000015,Ricky,Roth,Internal Medicine,AK,AK01,West,C,0,Medicare,Government,150,1,0,2,790.12,0.0,0.501
2023-02,010000016,Carlos,Frank,Internal Medicine,AK,AK01,West,A,1,Commercial,Commercial,100,16,4,16,6808.52,0.25,0.794
2023-02,010000017,Jennifer,Fisher,Neurology,AK,AK01,West,C,0,Medicare,Government,150,7,3,7,3285.67,0.429,0.847
2023-02,010000018,Juan,Howell,Psychiatry,AK,AK01,West,C,0,Managed Medicaid,Government,100,14,7,28,12191.84,0.5,0.78
2023-02,010000019,Carrie,Delgado,Neurology,AK,AK01,West,B,1,Medicaid,Government,200,22,10,44,20860.95,0.455,0.561
2023-02,010000020,Brittney,Smith,Internal Medicine,AK,AK01,West,C,0,Medicaid,Government,150,6,2,6,1475.34,0.333,0.78
2023-02,010000021,Stephanie,Jones,Neurology,AK,AK01,West,A,1,Managed Medicaid,Government,200,21,7,42,18383.73,0.333,0.556
2023-02,010000022,Christopher,Martin,Internal Medicine,AK,AK01,West,A,1,Commercial,Commercial,100,19,6,19,6340.86,0.316,0.72
2023-02,010000023,Karla,Palmer,Neurology,AK,AK01,West,A,1,Commercial,Commercial,200,12,6,12,4424.0,0.5,0.509
2023-02,010000024,Amanda,Cooper,Neurology,AK,AK01,West,A,1,Managed Medicaid,Government,200,27,9,54,14499.23,0.333,0.728
2023-02,010000025,Tara,MD,Psychiatry,AK,AK01,West,B,1,Medicaid,Government,200,26,6,26,10629.87,0.231,0.782
2023-02,010000026,Kaitlyn,Anderson,Internal Medicine,AK,AK01,West,B,1,Commercial,Commercial,150,18,4,18,8335.69,0.222,0.72
2023-02,010000027,Tony,Hanson,Neurology,AK,AK01,West,C,0,Commercial,Commercial,100,3,1,6,2766.43,0.333,0.543
2023-02,010000028,Ricky,Willis,Psychiatry,AK,AK01,West,B,1,Medicare,Government,100,12,6,12,2881.43,0.5,0.796
2023-02,010000029,Robert,Washington,Psychiatry,AK,AK01,West,B,1,Commercial,Commercial,150,21,10,21,6879.05,0.476,0.67
2023-02,020000000,Kelly,Murphy,Neurology,AZ,AZ01,West,A,1,Medicaid,Government,200,21,7,42,13337.78,0.333,0.61
2023-02,020000001,Jennifer,Montgomery,Internal Medicine,AZ,AZ01,West,A,1,Medicaid,Government,150,14,6,14,6369.24,0.429,0.731
2023-02,020000002,Heather,Richards,Neurology,AZ,AZ01,West,C,0,Commercial,Commercial,100,7,3,14,6697.21,0.429,0.669
2023-02,020000003,Mark,Walker,Neurology,AZ,AZ01,West,C,0,Commercial,Commercial,100,10,3,20,9218.23,0.3,0.567
2023-02,020000004,Nathan,Shields,Psychiatry,AZ,AZ01,West,C,0,Commercial,Commercial,200,3,1,3,828.72,0.333,0.628
2023-02,020000005,Kimberly,Weaver,Psychiatry,AZ,AZ01,West,A,1,Medicare,Government,100,17,8,17,4108.82,0.471,0.742
2023-02,020000006,Lauren,Lee,Psychiatry,AZ,AZ01,West,B,1,Medicare,Government,150,17,4,17,7953.27,0.235,0.622
2023-02,020000007,Dustin,Kelly,Neurology,AZ,AZ01,West,C,0,Medicare,Government,150,2,0,4,1333.5,0.0,0.831
2023-02,020000008,Anne,Morrow,Psychiatry,AZ,AZ01,West,B,1,Medicaid,Government,100,17,5,34,15982.94,0.294,0.536
2023-02,020000009,Mark,Webb,Neurology,AZ,AZ01,West,B,1,Medicaid,Government,100,10,2,20,6654.05,0.2,0.656
2023-02,020000010,Kristi,Martinez,Neurology,AZ,AZ01,West,C,0,Medicare,Government,150,4,2,4,1511.59,0.5,0.65
2023-02,020000011,Heather,Brown,Neurology,AZ,AZ01,West,B,1,Medicare,Government,200,17,8,17,5726.36,0.471,0.811
2023-02,020000012,Stephen,Weber,Neurology,AZ,AZ01,West,B,1,Managed Medicaid,Government,150,18,6,36,11648.15,0.333,0.54
2023-02,020000013,Tracy,Clark,Internal Medicine,AZ,AZ01,West,B,1,Medicaid,Government,150,21,10,21,5016.62,0.476,0.73
2023-02,020000014,Jackie,Fuller,Internal Medicine,AZ,AZ01,West,A,1,Medicare,Government,100,12,3,12,3634.0,0.25,0.504
2023-02,020000015,Nicole,Evans,Internal Medicine,AZ,AZ01,West,A,1,Managed Medicaid,Government,200,13,3,26,11795.51,0.231,0.697
2023-02,020000016,Eric,Torres,Internal Medicine,AZ,AZ01,West,B,1,Medicaid,Government,200,14,6,14,3454.63,0.429,0.597
2023-02,020000017,Catherine,Byrd,Neurology,AZ,AZ01,West,C,0,Commercial,Commercial,200,0,0,0,0.0,0.0,0.652
2023-02,020000018,Matthew,Nelson,Internal Medicine,AZ,AZ01,West,A,1,Medicaid,Government,100,21,6,42,14685.27,0.286,0.847
2023-02,020000019,Tiffany,Thompson,Internal Medicine,AZ,AZ01,West,A,1,Commercial,Commercial,150,15,5,15,5645.58,0.333,0.707
2023-02,020000020,Amy,Miller,Psychiatry,AZ,AZ01,West,C,0,Commercial,Commercial,150,6,2,6,2324.12,0.333,0.8
2023-02,020000021,Charlene,Anderson,Psychiatry,AZ,AZ01,West,B,1,Medicare,Government,100,14,5,28,6429.42,0.357,0.687
2023-02,020000022,Danielle,Lee,Neurology,AZ,AZ01,West,A,1,Medicare,Government,200,16,6,16,3808.93,0.375,0.533
2023-02,020000023,Joseph,MD,Internal Medicine,AZ,AZ01,West,C,0,Medicare,Government,150,7,2,14,5823.44,0.286,0.64
2023-02,020000024,Richard,House,Neurology,AZ,AZ01,West,B,1,Managed Medicaid,Government,200,20,6,20,6445.3,0.3,0.744
2023-02,020000025,William,Williams,Internal Medicine,AZ,AZ01,West,B,1,Commercial,Commercial,150,13,5,13,2958.99,0.385,0.517
2023-02,020000026,Bryan,Higgins,Psychiatry,AZ,AZ01,West,A,1,Commercial,Commercial,150,18,6,36,10038.55,0.333,0.531
2023-02,020000027,Melissa,Bradley,Neurology,AZ,AZ01,West,B,1,Commercial,Commercial,200,14,6,14,4025.26,0.429,0.775
2023-02,020000028,Nicole,Salazar,Psychiatry,AZ,AZ01,West,A,1,Medicare,Government,100,17,6,34,10391.27,0.353,0.714
2023-02,020000029,Amy,Bennett,Internal Medicine,AZ,AZ01,West,B,1,Medicaid,Government,100,15,7,30,7535.23,0.467,0.612
2023-02,030000000,Glenn,Khan,Psychiatry,AR,AR01,South,C,0,Managed Medicaid,Government,200,15,7,30,11812.23,0.467,0.683
2023-02,030000001,Nicole,Griffin,Psychiatry,AR,AR01,South,C,0,Managed Medicaid,Government,200,10,5,20,9477.02,0.5,0.613
2023-02,030000002,Janet,Anderson,Neurology,AR,AR01,South,B,1,Medicaid,Government,100,20,10,40,16768.5,0.5,0.749
2023-02,030000003,Michelle,Barr,Internal Medicine,AR,AR01,South,C,0,Medicaid,Government,200,0,0,0,0.0,0.0,0.526
2023-02,030000004,Gabriel,Doyle,Internal Medicine,AR,AR01,South,A,1,Medicaid,Government,100,17,5,17,5809.22,0.294,0.635
2023-02,030000005,Melinda,Curtis,Internal Medicine,AR,AR01,South,A,1,Medicare,Government,100,22,8,44,18379.98,0.364,0.609
2023-02,030000006,Kelly,Mcbride,Internal Medicine,AR,AR01,South,C,0,Medicaid,Government,200,5,1,5,2288.36,0.2,0.577
