month_year,npi_num,first_name,last_name,specialty,state,territory_code,region,hcp_segment,is_target,channel_name,payer_group,strength_mg,trx,nrx,units,net_product_sales,conversion_rate,payer_reimb_rate
2023-11,000000000,Sophia,Mcconnell,Psychiatry,AL,AL01,South,A,1,Medicaid,Government,150,17,6,17,7257.22,0.353,0.525
2023-11,000000001,Joseph,Martin,Neurology,AL,AL01,South,C,0,Medicaid,Government,200,0,0,0,0.0,0.0,0.536
2023-11,000000002,Jeffrey,Kelly,Internal Medicine,AL,AL01,South,C,0,Managed Medicaid,Government,200,11,3,22,4996.86,0.273,0.55
2023-11,000000003,Lindsey,Lopez,Neurology,AL,AL01,South,B,1,Medicaid,Government,100,23,11,23,10683.86,0.478,0.55
2023-11,000000004,Natalie,Thompson,Neurology,AL,AL01,South,B,1,Managed Medicaid,Government,100,16,7,32,9604.03,0.438,0.579
2023-11,000000005,Ethan,Atkins,Neurology,AL,AL01,South,B,1,Medicaid,Government,200,13,6,26,9490.95,0.462,0.637
2023-11,000000006,John,Jr.,Psychiatry,AL,AL01,South,A,1,Medicaid,Government,200,29,13,29,13245.79,0.448,0.724
2023-11,000000007,Deborah,Kemp,Psychiatry,AL,AL01,South,C,0,Commercial,Commercial,200,12,4,24,6010.3,0.333,0.656
2023-11,000000008,Joshua,Lambert,Neurology,AL,AL01,South,A,1,Managed Medicaid,Government,150,28,11,56,26115.55,0.393,0.525
2023-11,000000009,Matthew,Hayes,Internal Medicine,AL,AL01,South,A,1,Medicaid,Government,100,27,11,54,20961.44,0.407,0.617
2023-11,000000010,Lindsey,Byrd,Psychiatry,AL,AL01,South,C,0,Managed Medicaid,Government,100,12,4,24,7271.76,0.333,0.611
2023-11,000000011,Calvin,Hill,Internal Medicine,AL,AL01,South,A,1,Managed Medicaid,Government,100,27,13,54,24907.42,0.481,0.64
2023-11,000000012,Philip,Simmons,Neurology,AL,AL01,South,A,1,Managed Medicaid,Government,100,19,8,38,16353.58,0.421,0.577
2023-11,000000013,Cheryl,Dawson,Neurology,AL,AL01,South,B,1,Medicaid,Government,100,27,8,54,19233.59,0.296,0.592
2023-11,000000014,Alan,Snow,Neurology,AL,AL01,South,C,0,Commercial,Commercial,200,8,4,16,4714.71,0.5,0.761
2023-11,000000015,Matthew,Davis,Neurology,AL,AL01,South,A,1,Medicare,Government,200,17,4,34,11793.19,0.235,0.694
2023-11,000000016,Michael,Young,Internal Medicine,AL,AL01,South,A,1,Commercial,Commercial,100,23,11,46,18427.9,0.478,0.663
2023-11,000000017,Greg,Hardy,Psychiatry,AL,AL01,South,B,1,Medicaid,Government,150,31,15,31,8262.94,0.484,0.608
2023-11,000000018,Christopher,Young,Internal Medicine,AL,AL01,South,C,0,Medicaid,Government,200,9,4,18,7052.41,0.444,0.82
2023-11,000000019,Jane,Contreras,Neurology,AL,AL01,South,B,1,Managed Medicaid,Government,200,26,7,26,6622.54,0.269,0.766
2023-11,000000020,Amanda,Booth,Psychiatry,AL,AL01,South,A,1,Medicaid,Government,150,16,7,16,6607.92,0.438,0.801
2023-11,000000021,Jesus,Mills,Psychiatry,AL,AL01,South,B,1,Managed Medicaid,Government,100,18,5,36,16613.04,0.278,0.641
2023-11,000000022,Kendra,Wilson,Neurology,AL,AL01,South,B,1,Managed Medicaid,Government,150,24,11,24,7749.17,0.458,0.751
