month_year,npi_num,first_name,last_name,specialty,state,territory_code,region,hcp_segment,is_target,channel_name,payer_group,strength_mg,trx,nrx,units,net_product_sales,conversion_rate,payer_reimb_rate
2023-04,000000000,Wesley,Cortez,Psychiatry,AL,AL01,South,C,0,Medicaid,Government,150,8,3,8,2532.05,0.375,0.692
2023-04,000000001,Mary,Davies,Neurology,AL,AL01,South,A,1,Commercial,Commercial,100,15,6,15,4324.22,0.4,0.52
2023-04,000000002,Michael,Park,Internal Medicine,AL,AL01,South,B,1,Medicare,Government,150,19,10,19,7431.43,0.526,0.849
2023-04,000000003,Michael,Chandler,Internal Medicine,AL,AL01,South,C,0,Commercial,Commercial,200,3,1,3,1179.33,0.333,0.705
2023-04,000000004,Thomas,Rios,Neurology,AL,AL01,South,A,1,Managed Medicaid,Government,150,26,12,52,14642.91,0.462,0.679
2023-04,000000005,Kristen,Booth,Psychiatry,AL,AL01,South,B,1,Managed Medicaid,Government,100,22,8,44,12134.51,0.364,0.571
2023-04,000000006,Rick,Robinson,Internal Medicine,AL,AL01,South,A,1,Medicaid,Government,200,17,8,17,3861.54,0.471,0.703
2023-04,000000007,Melanie,Gonzalez,Internal Medicine,AL,AL01,South,A,1,Medicare,Government,100,25,8,50,19040.0,0.32,0.579
2023-04,000000008,Veronica,Ramirez,Psychiatry,AL,AL01,South,B,1,Medicare,Government,100,19,9,38,18156.91,0.474,0.698
2023-04,000000009,Jimmy,Webb,Neurology,AL,AL01,South,B,1,Medicare,Government,150,19,7,38,15815.4,0.368,0.553
2023-04,000000010,Kimberly,Willis,Neurology,AL,AL01,South,B,1,Medicaid,Government,150,15,7,15,5335.29,0.467,0.779
2023-04,000000011,Courtney,Zimmerman,Psychiatry,AL,AL01,South,A,1,Medicare,Government,100,15,7,30,12668.31,0.467,0.721
2023-04,000000012,Mary,Joseph,Psychiatry,AL,AL01,South,A,1,Medicaid,Government,100,31,12,31,7121.08,0.387,0.579
2023-04,000000013,Alejandro,Lane,Internal Medicine,AL,AL01,South,A,1,Medicare,Government,150,24,8,48,16196.07,0.333,0.797
2023-04,000000014,Anna,Obrien,Psychiatry,AL,AL01,South,A,1,Medicare,Government,100,9,3,18,6387.32,0.333,0.758
2023-04,000000015,Samantha,Ross,Internal Medicine,AL,AL01,South,A,1,Medicaid,Government,200,14,5,14,4306.0,0.357,0.644
2023-04,000000016,Yolanda,Williams,Internal Medicine,AL,AL01,South,A,1,Commercial,Commercial,100,13,5,13,4817.41,0.385,0.671
2023-04,000000017,Lee,Benitez,Neurology,AL,AL01,South,B,1,Medicare,Government,150,19,6,19,7063.49,0.316,0.634
2023-04,000000018,Robert,Wright,Psychiatry,AL,AL01,South,B,1,Commercial,Commercial,150,17,7,17,5833.47,0.412,0.714
2023-04,000000019,Donna,Roberts,Neurology,AL,AL01,South,B,1,Medicare,Government,150,27,12,27,6043.99,0.444,0.556
2023-04,000000020,Joe,Williams,Internal Medicine,AL,AL01,South,C,0,Medicaid,Government,150,4,1,8,2158.1,0.25,0.525
2023-04,000000021,Cynthia,Davis,Internal Medicine,AL,AL01,South,A,1,Managed Medicaid,Government,100,30,10,60,18925.06,0.333,0.579
2023-04,000000022,Laura,Lang,Psychiatry,AL,AL01,South,A,1,Commercial,Commercial,200,19,9,19,6058.48,0.474,0.633
2023-04,000000023,Allison,Haley,Neurology,AL,AL01,South,A,1,Medicare,Government,100,31,15,31,12216.46,0.484,0.643
2023-04,000000024,Misty,Taylor,Internal Medicine,AL,AL01,South,A,1,Commercial,Commercial,150,18,7,36,16631.16,0.389,0.776
2023-04,000000025,Jessica,Gonzalez,Neurology,AL,AL01,South,C,0,Commercial,Commercial,100,5,1,5,2053.73,0.2,0.796
2023-04,000000026,Danielle,Hoffman,Internal Medicine,AL,AL01,South,C,0,Medicaid,Government,150,11,3,22,7180.66,0.273,0.693
2023-04,000000027,Jonathan,White,Psychiatry,AL,AL01,South,B,1,Commercial,Commercial,100,23,7,23,6625.77,0.304,0.598
2023-04,000000028,Stephanie,Williams,Psychiatry,AL,AL01,South,A,1,Commercial,Commercial,100,12,4,12,3613.6,0.333,0.832
2023-04,000000029,David,Mclaughlin,Internal Medicine,AL,AL01,South,A,1,Medicaid,Government,100,20,6,40,15416.28,0.3,0.656
2023-04,010000000,Abigail,Browning,Neurology,AK,AK01,West,C,0,Commercial,Commercial,150,4,1,8,2696.91,0.25,0.676
2023-04,010000001,Dale,Mays,Internal Medicine,AK,AK01,West,A,1,Medicare,Government,100,16,4,32,10810.92,0.25,0.604
2023-04,010000002,Robert,Dawson,Neurology,AK,AK01,West,B,1,Medicaid,Government,100,20,10,20,5429.25,0.5,0.592
2023-04,010000003,Sean,Hull,Internal Medicine,AK,AK01,West,B,1,Medicare,Government,150,18,6,36,9091.34,0.333,0.768
2023-04,010000004,John,Lee,Internal Medicine,AK,AK01,West,B,1,Managed Medicaid,Government,200,20,10,40,17021.82,0.5,0.659
2023-04,010000005,Christopher,Hall,Internal Medicine,AK,AK01,West,A,1,Medicaid,Government,100,14,6,28,8093.02,0.429,0.716
2023-04,010000006,Amy,Johnson,Neurology,AK,AK01,West,C,0,Managed Medicaid,Government,100,0,0,0,0.0,0.0,0.537
2023-04,010000007,Christopher,Wilson,Psychiatry,AK,AK01,West,B,1,Medicare,Government,100,25,6,25,10802.83,0.24,0.642
2023-04,010000008,Kelly,Dean,Internal Medicine,AK,AK01,West,A,1,Commercial,Commercial,150,25,13,25,6956.96,0.52,0.649
2023-04,010000009,Ruben,Morrison,Internal Medicine,AK,AK01,West,B,1,Medicaid,Government,100,24,7,24,7449.54,0.292,0.824
2023-04,010000010,Colleen,Conner,Internal Medicine,AK,AK01,West,A,1,Commercial,Commercial,200,19,8,19,4581.2,0.421,0.849
2023-04,010000011,Maria,Hawkins,Neurology,AK,AK01,West,B,1,Medicare,Government,150,17,8,34,14435.36,0.471,0.558
2023-04,010000012,Susan,Murphy,Psychiatry,AK,AK01,West,B,1,Commercial,Commercial,150,16,6,32,7217.37,0.375,0.598
2023-04,010000013,Diane,Shah,Internal Medicine,AK,AK01,West,C,0,Managed Medicaid,Government,150,2,0,4,1791.89,0.0,0.632
2023-04,010000014,Elizabeth,Wilson,Neurology,AK,AK01,West,C,0,Medicare,Government,200,6,2,12,4252.31,0.333,0.664
2023-04,010000015,Timothy,Stevens,Neurology,AK,AK01,West,A,1,Managed Medicaid,Government,100,25,10,25,11923.48,0.4,0.822
2023-04,010000016,Latasha,Kennedy,Internal Medicine,AK,AK01,West,B,1,Commercial,Commercial,100,15,7,30,10393.04,0.467,0.835
2023-04,010000017,Robert,Beard,Psychiatry,AK,AK01,West,C,0,Managed Medicaid,Government,150,12,3,24,8996.03,0.25,0.783
2023-04,010000018,Peter,Boyd,Psychiatry,AK,AK01,West,B,1,Commercial,Commercial,100,11,4,11,3685.12,0.364,0.701
2023-04,010000019,Rebekah,English,Internal Medicine,AK,AK01,West,A,1,Commercial,Commercial,150,20,6,20,5285.15,0.3,0.532
2023-04,010000020,Benjamin,Williams,Internal Medicine,AK,AK01,West,B,1,Commercial,Commercial,150,22,11,44,19394.94,0.5,0.648
2023-04,010000021,Jessica,Bradford,Internal Medicine,AK,AK01,West,A,1,Medicaid,Government,100,16,4,32,12561.08,0.25,0.756
2023-04,010000022,Dawn,Rodriguez,Neurology,AK,AK01,West,B,1,Medicare,Government,100,13,3,13,4778.31,0.231,0.538
2023-04,010000023,William,Gibson,Neurology,AK,AK01,West,A,1,Medicaid,Government,200,24,8,24,7527.6,0.333,0.817
