month_year,npi_num,first_name,last_name,specialty,state,territory_code,region,hcp_segment,is_target,channel_name,payer_group,strength_mg,trx,nrx,units,net_product_sales,conversion_rate,payer_reimb_rate
2025-07,000000000,Emily,Ramirez,Psychiatry,AL,AL01,South,C,0,Medicaid,Government,200,4,2,4,914.89,0.5,0.607
2025-07,000000001,Phillip,Rivas,Neurology,AL,AL01,South,A,1,Medicaid,Government,200,13,3,26,6618.14,0.231,0.825
2025-07,000000002,Kathryn,Moyer,Psychiatry,AL,AL01,South,A,1,Medicaid,Government,200,12,3,24,9277.28,0.25,0.694
2025-07,000000003,Lisa,Brady,Internal Medicine,AL,AL01,South,A,1,Medicare,Government,100,9,3,9,2273.14,0.333,0.61
2025-07,000000004,Sandra,Reed,Neurology,AL,AL01,South,B,1,Medicaid,Government,200,10,5,10,3247.59,0.5,0.645
2025-07,000000005,Tony,Ramos,Internal Medicine,AL,AL01,South,C,0,Medicaid,Government,150,0,0,0,0.0,0.0,0.756
2025-07,000000006,Heidi,West,Internal Medicine,AL,AL01,South,C,0,Commercial,Commercial,200,1,0,2,721.84,0.0,0.806
2025-07,000000007,Denise,Jackson,Neurology,AL,AL01,South,A,1,Medicaid,Government,200,14,6,28,8298.55,0.429,0.61
2025-07,000000008,Michael,Ellison,Internal Medicine,AL,AL01,South,A,1,Medicaid,Government,200,5,2,10,3494.8,0.4,0.566
2025-07,000000009,Derek,Jennings,Internal Medicine,AL,AL01,South,C,0,Medicare,Government,100,0,0,0,0.0,0.0,0.727
2025-07,000000010,Christina,Fields,Neurology,AL,AL01,South,C,0,Managed Medicaid,Government,100,1,0,2,934.15,0.0,0.64
2025-07,000000011,Nicole,Johnson,Psychiatry,AL,AL01,South,B,1,Medicaid,Government,200,15,7,15,5652.56,0.467,0.534
2025-07,000000012,Michael,Byrd,Internal Medicine,AL,AL01,South,C,0,Commercial,Commercial,150,3,1,3,890.35,0.333,0.778
2025-07,000000013,Hunter,Perez,Internal Medicine,AL,AL01,South,A,1,Medicare,Government,200,18,5,36,14161.9,0.278,0.54
2025-07,000000014,Jason,Arias,Neurology,AL,AL01,South,C,0,Medicare,Government,100,2,0,4,1266.1,0.0,0.595
2025-07,000000015,Deborah,Hernandez,Internal Medicine,AL,AL01,South,B,1,Medicare,Government,100,12,5,12,5536.06,0.417,0.648
2025-07,000000016,Mitchell,Myers,Neurology,AL,AL01,South,C,0,Medicare,Government,200,6,3,6,2034.52,0.5,0.781
2025-07,000000017,Martha,Pruitt,Internal Medicine,AL,AL01,South,A,1,Medicaid,Government,200,17,6,17,4892.3,0.353,0.628
2025-07,000000018,Lauren,Martin,Psychiatry,AL,AL01,South,C,0,Medicaid,Government,100,1,0,2,786.69,0.0,0.614
2025-07,000000019,Holly,Simon,Internal Medicine,AL,AL01,South,A,1,Medicare,Government,200,10,2,10,2602.64,0.2,0.833
2025-07,000000020,Matthew,Bailey,Psychiatry,AL,AL01,South,A,1,Medicare,Government,150,10,3,20,4589.0,0.3,0.699
2025-07,000000021,Erik,Wall,Internal Medicine,AL,AL01,South,B,1,Medicare,Government,200,13,6,26,6286.19,0.462,0.596
2025-07,000000022,Randy,Rodriguez,Neurology,AL,AL01,South,C,0,Medicaid,Government,100,8,2,16,4594.28,0.25,0.609
2025-07,000000023,Lauren,Khan,Internal Medicine,AL,AL01,South,C,0,Managed Medicaid,Government,200,8,4,8,2819.24,0.5,0.552
2025-07,000000024,Frank,Cannon,Neurology,AL,AL01,South,A,1,Commercial,Commercial,150,8,2,8,3685.55,0.25,0.834
2025-07,000000025,Luis,Johnson,Internal Medicine,AL,AL01,South,C,0,Medicaid,Government,200,1,0,1,355.0,0.0,0.579
2025-07,000000026,Sabrina,Pope,Neurology,AL,AL01,South,A,1,Managed Medicaid,Government,200,12,3,24,8073.54,0.25,0.592
2025-07,000000027,Christian,Reid,Internal Medicine,AL,AL01,South,B,1,Managed Medicaid,Government,200,7,2,14,3805.85,0.286,0.501
2025-07,000000028,Katherine,Lawrence,Psychiatry,AL,AL01,South,C,0,Commercial,Commercial,100,6,3,12,4565.48,0.5,0.588
2025-07,000000029,Antonio,Lee,Psychiatry,AL,AL01,South,C,0,Medicaid,Government,150,3,1,6,2789.63,0.333,0.734
2025-07,010000000,Jerry,Poole,Neurology,AK,AK01,West,C,0,Managed Medicaid,Government,200,7,3,7,2838.58,0.429,0.62
2025-07,010000001,Carolyn,Baker,Neurology,AK,AK01,West,C,0,Managed Medicaid,Government,150,7,3,7,2178.35,0.429,0.595
2025-07,010000002,Shannon,Choi,Neurology,AK,AK01,West,A,1,Medicare,Government,200,11,4,22,8595.95,0.364,0.542
2025-07,010000003,William,Perez,Psychiatry,AK,AK01,West,B,1,Medicare,Government,100,7,2,14,3370.83,0.286,0.546
2025-07,010000004,Vanessa,Yang,Internal Medicine,AK,AK01,West,B,1,Commercial,Commercial,150,7,2,14,3378.03,0.286,0.559
2025-07,010000005,Brittany,Norris,Psychiatry,AK,AK01,West,C,0,Medicare,Government,200,3,0,3,1166.8,0.0,0.51
2025-07,010000006,Sharon,Obrien,Psychiatry,AK,AK01,West,A,1,Medicaid,Government,150,12,4,24,9544.98,0.333,0.578
